Name,Url,File Name
Taaza Thindi,https://www.zomato.com/bangalore/taaza-thindi-jayanagar,"Taaza Thindi, Jayanagar, Bangalore - Zomato.html"
The Hole in the Wall Cafe,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block,"The Hole in the Wall Cafe, Koramangala 4th Block, Bangalore - Zomato.html"
Indian Paratha Company,https://www.zomato.com/indianparathcompany,"Indian Paratha Company, International Airport, Bangalore - Zomato.html"
Shri Sagar (CTR),https://www.zomato.com/bangalore/shri-sagar-ctr-malleshwaram,"Shri Sagar (CTR), Malleshwaram, Bangalore - Zomato.html"
BYLI - Bet You Love It!,https://www.zomato.com/bangalore/byli-bet-you-love-it-kalyan-nagar,"BYLI - Bet You Love It!, Kalyan Nagar, Bangalore - Zomato.html"
Big Pitcher,https://www.zomato.com/bangalore/big-pitcher-airport-road,"Big Pitcher, Old Airport Road, Bangalore - Zomato.html"
Sultans of Spice,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block,"Sultans of Spice, Koramangala 5th Block, Bangalore - Zomato.html"
Cilantro,https://www.zomato.com/Cilantro?zref=restaurant&ref_id=162246&ref_type=subzone,"Cilantro, Koramangala 4th Block, Bangalore - Zomato.html"
AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli,"AB's - Absolute Barbecues, Marathahalli, Bangalore - Zomato.html"
The Fisherman's Wharf,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road,"The Fisherman's Wharf, Sarjapur Road, Bangalore - Zomato.html"
Truffles,https://www.zomato.com/bangalore/truffles-koramangala-5th-block,"Truffles, Koramangala 5th Block, Bangalore - Zomato.html"
Onesta,https://www.zomato.com/bangalore/onesta-indiranagar,"Onesta, Indiranagar, Bangalore - Zomato.html"
Glen's Bakehouse,https://www.zomato.com/bangalore/glens-bakehouse-indiranagar,"Glen's Bakehouse, Indiranagar, Bangalore - Zomato.html"
Smally's Resto Cafe,https://www.zomato.com/bangalore/smallys-resto-cafe-church-street,"Smally's Resto Cafe, Church Street, Bangalore - Zomato.html"
Cafe Max,https://www.zomato.com/bangalore/cafe-max-indiranagar,"Cafe Max, Indiranagar, Bangalore - Zomato.html"
Chili's,https://www.zomato.com/bangalore/chilis-indiranagar,"Chili's, Indiranagar, Bangalore - Zomato.html"
Faasco's,https://www.zomato.com/bangalore/faasos-indiranagar?zref=restaurant&ref_id=5413&ref_type=subzone,"Faasos, Indiranagar, Bangalore - Zomato.html"
Nando's,https://www.zomato.com/bangalore/nandos-indiranagar?zref=restaurant&ref_id=5413&ref_type=subzone,"Nando's, Indiranagar, Bangalore - Zomato.html"
Vinny's,https://www.zomato.com/bangalore/vinnys-domlur?zref=restaurant&ref_id=5413&ref_type=subzone,"Vinny's, Domlur, Bangalore - Zomato.html"
Fava's,https://www.zomato.com/bangalore/fava-lavelle-road,"Fava, Vittal Mallya Road, Bangalore - Zomato.html"
Flechazo,https://www.zomato.com/bangalore/flechazo-marathahalli,"Flechazo, Marathahalli, Bangalore - Zomato.html"
Toit,https://www.zomato.com/bangalore/toit-indiranagar,"Toit, Indiranagar, Bangalore - Zomato.html"
Three Dots and a Dash,https://www.zomato.com/bangalore/three-dots-a-dash-indiranagar,"Three Dots & A Dash, Indiranagar, Bangalore - Zomato.html"
Koramangala Social,https://www.zomato.com/bangalore/koramangala-social-koramangala-7th-block,"Koramangala Social, Koramangala 7th Block, Bangalore - Zomato.html"
Communiti,https://www.zomato.com/bangalore/communiti-residency-road,"Communiti, Residency Road, Bangalore - Zomato.html"
Big Brewsky,https://www.zomato.com/bangalore/big-brewsky-sarjapur-road,"Big Brewsky, Sarjapur Road, Bangalore - Zomato.html"
Vapour,https://www.zomato.com/bangalore/vapour-pub-brewery-indiranagar,"Vapour Pub & Brewery, Indiranagar, Bangalore - Zomato.html"
The Black Rabbit,https://www.zomato.com/bangalore/the-black-rabbit-indiranagar,"The Black Rabbit, Indiranagar, Bangalore - Zomato.html"
Hard Rock Cafe,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road,"Hard Rock Cafe, St Marks Road, Bangalore - Zomato.html"
Over The Top Terrace Lounge,https://www.zomato.com/bangalore/over-the-top-terrace-lounge-koramangala-5th-block?zref=search&ref_id=4&ref_type=city,"Over The Top Terrace Lounge, Koramangala 5th Block, Bangalore - Zomato.html"
Windmills Craftsworks,https://www.zomato.com/bangalore/windmills-craftworks-whitefield,"Windmills Craftworks, Whitefield, Bangalore - Zomato.html"
The Fatty Bao,https://www.zomato.com/bangalore/the-fatty-bao-asian-gastro-bar-indiranagar,"The Fatty Bao - Asian Gastro Bar, Indiranagar, Bangalore - Zomato.html"
Soho St.,https://www.zomato.com/bangalore/soho-st-btm,"Soho St., BTM, Bangalore - Zomato.html"
Fenny's,https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block,"Fenny's Lounge And Kitchen, Koramangala 7th Block, Bangalore - Zomato.html"
Three Quarter Chinese,https://www.zomato.com/bangalore/three-quarter-chinese-church-street?zref=search&ref_id=4&ref_type=city,"Three Quarter Chinese, Church Street, Bangalore - Zomato.html"
